path_ref,path_query,path_distance,ref_x,ref_y,query_x,query_y
0,0,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
1,1,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
2,2,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
3,3,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
4,4,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
5,5,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
6,6,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
7,7,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
8,8,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
9,9,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
10,10,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
11,11,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
12,12,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
13,13,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
14,14,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
15,15,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
16,16,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
17,17,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
18,18,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
19,19,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
20,20,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
21,21,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
22,22,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
23,23,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
24,24,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
25,25,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
26,26,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
27,27,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
28,28,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
29,29,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
30,30,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
31,31,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
32,32,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
33,33,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
34,34,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
35,35,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
36,36,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
37,37,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
38,38,137.55980797296334,959.9083112003631,559.5147956209106,970.8,528.3
39,39,135.76287116944727,960.5259582591866,559.7206779738518,970.8,528.3
40,40,134.0059507848763,961.1436053180101,559.9265603267929,970.8,528.3
41,41,132.2909154277636,961.7612523768337,560.1324426797341,970.8,528.3
42,42,130.61924614322413,962.3788994356572,560.3383250326754,970.8,528.3
43,43,128.9920552876815,962.9965464944808,560.5442073856165,970.8,528.3
44,44,127.41011029167748,963.6141935533043,560.7500897385577,970.8,528.3
45,45,125.87386093156523,964.2318406121278,560.9559720914989,970.8,528.3
46,46,124.3834688313905,964.8494876709514,561.16185444444,970.8,528.3
47,47,122.93883806045655,965.4671347297748,561.3677367973812,970.8,528.3
48,48,121.53964586136877,966.0847817885983,561.5736191503223,970.8,528.3
49,49,120.18537272192513,966.7024288474219,561.7795015032635,970.8,528.3
50,50,118.87533117952286,967.3200759062454,561.9853838562047,970.8,528.3
51,51,117.60869290983243,967.9377229650689,562.1912662091459,970.8,528.3
52,52,116.3845137965229,968.5553700238925,562.3971485620871,970.8,528.3
53,53,115.20175680282166,969.173017082716,562.6030309150283,970.8,528.3
54,54,114.05931256778423,969.7906641415395,562.8089132679694,970.8,528.3
55,55,112.95601773105128,970.4083112003631,563.0147956209106,970.8,528.3
56,56,111.89067105134285,971.0259582591866,563.2206779738518,970.8,528.3
57,57,110.86204742833768,971.6436053180101,563.4265603267929,970.8,528.3
58,58,109.86890996750638,972.2612523768337,563.6324426797341,970.8,528.3
59,59,108.91002024553153,972.8788994356572,563.8383250326754,970.8,528.3
60,60,107.98414694260514,973.4965464944808,564.0442073856165,970.8,528.3
61,61,108.31155708313487,974.1141935533043,564.2500897385577,971.104347826087,527.4434782608695
62,62,108.55259131050828,974.7318406121278,564.4559720914989,971.4086956521738,526.5869565217391
63,63,108.72139901632238,975.3494876709514,564.66185444444,971.7130434782608,525.7304347826087
64,64,108.82971596032311,975.9671347297748,564.8677367973812,972.0173913043478,524.8739130434782
65,65,108.88730976126834,976.5847817885983,565.0736191503223,972.3217391304347,524.0173913043478
66,66,108.90233799278884,977.2024288474219,565.2795015032635,972.6260869565217,523.1608695652174
67,67,108.88163636402405,977.8200759062454,565.4853838562047,972.9304347826087,522.3043478260869
68,68,108.83095118381272,978.4377229650689,565.6912662091459,973.2347826086956,521.4478260869565
69,69,108.75512746655072,979.0553700238925,565.8971485620871,973.5391304347826,520.591304347826
70,70,108.65826169032488,979.673017082716,566.1030309150283,973.8434782608696,519.7347826086956
71,71,108.54382632735883,980.2906641415395,566.3089132679694,974.1478260869565,518.8782608695652
72,72,108.41477176635172,980.9083112003631,566.5147956209106,974.4521739130435,518.0217391304348
72,73,108.87060496966241,980.9083112003631,566.5147956209106,974.7565217391303,517.1652173913044
72,74,109.29771246387077,980.9083112003631,566.5147956209106,975.0608695652173,516.3086956521739
72,75,109.69868337013409,980.9083112003631,566.5147956209106,975.3652173913043,515.4521739130435
72,76,110.07580966799121,980.9083112003631,566.5147956209106,975.6695652173912,514.5956521739131
72,77,110.43112694566422,980.9083112003631,566.5147956209106,975.9739130434782,513.7391304347826
72,78,110.76644873578655,980.9083112003631,566.5147956209106,976.2782608695652,512.8826086956522
72,79,111.08339556334884,980.9083112003631,566.5147956209106,976.5826086956521,512.0260869565218
72,80,111.38341961642524,980.9083112003631,566.5147956209106,976.8869565217391,511.1695652173913
72,81,111.6678257785656,980.9083112003631,566.5147956209106,977.1913043478261,510.3130434782609
72,82,111.93778962490391,980.9083112003631,566.5147956209106,977.495652173913,509.45652173913044
