Proband;pb1;pb1_2;pb2;pb3;pb3_2;pb4;pb5;pb5_2;pb7;pb7_2;pb8
query berfore ref (qbr);8987;12591;11108;7399;12271;11429;7863;7231;2916;12607;16246
max rbq;624;134;979;670;74;806;422;876;1180;438;1636
max qbr;-1460;-2940;-601;-1212;-1879;-1767;-548;-788;-265;-2358;-1836
max distance;178.67880413427773;177.6824110890507;176.17820070091165;175.75933760345015;178.78194688895994;178.13503895851898;176.55875531222958;174.92553464290484;178.17351310430715;179.79812156168038;178.8746438658119
min distane;0.002024172900412132;0.01136583493275439;0.001356263173149055;0.004097512704572431;0.00043878400586562424;6.056379229554676e-05;0.0008792616818646656;0.00014364979460346265;0.010082813676253452;0.003194783794437648;0.015843597960889733
Alias_Distance;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog;Spot7_winkellog
distance;699121.4529458233;546309.715973523;908460.7385689764;662934.4152566027;510677.0153774307;981855.1020058421;512202.2866702457;231032.76117627672;344755.18426261813;365502.12845680176;1050730.0890005366
mean_distance;75.03718503228757;58.63579649817785;48.75547354526788;71.15320545847405;54.81131430475804;52.69441861245329;54.975022718712644;24.796904709270873;37.0028103748651;39.19593870850421;56.39081677671532
zero-overhead-counter;1285;170;845;172;287;213;170;265;628;170;335
ref before query (rbq);2550;610;4299;341;374;6464;805;5731;9482;1703;3449
query berfore ref (qbr);10223;13965;21448;13578;13923;21957;13111;7323;3392;13242;25225
max rbq;411;134;509;28;57;806;190;876;1180;438;1404
max qbr;-2686;-3072;-4451;-4604;-4785;-5452;-3076;-788;-265;-3228;-7164
max distance;179.5241501861045;177.6818815774187;179.96752018594253;179.94684846876478;178.7366778950192;173.82981218483627;177.03696295166907;174.9255274267517;178.17351310430715;179.79812156168035;178.85451651770632
min distane;3.044610418971972e-05;2.1845763054266964e-05;4.759536526439066e-06;7.505096254794314e-06;1.6475569554492963e-06;1.7488661359774834e-06;7.210590445555256e-08;6.4779887450914285e-06;6.4816510100578296e-06;2.886204326350672e-06;2.0801109206599175e-06
Alias_Distance;Spot8_euklid;Spot8_euklid;Spot8_euklid;Spot8_euklid;Spot8_euklid;Spot8_euklid;Spot8_euklid;Spot8_euklid;Spot8_euklid;Spot8_euklid;Spot8_euklid
distance;2164134.220895968;2165147.131295746;4119344.6837590775;1835960.587289126;1983490.8765786358;2503671.40465791;1261440.498815244;1468088.5648128372;1643088.4743604374;1944878.873596249;2857003.5520949573
mean_distance;181.0990979829262;181.047506588824;172.3647300623071;153.63686922921556;165.9825001321034;104.76050900279971;105.5598743778447;122.85259956592779;137.49694346112446;162.75137017541832;119.54489945583319
zero-overhead-counter;632;776;1526;591;1203;1158;587;165;587;27;1592
ref before query (rbq);807;7644;17036;7211;8416;29834;10223;9188;11962;3391;17394
query berfore ref (qbr);17270;9685;12687;5720;5426;1230;4708;5825;4495;13738;10252
max rbq;255;2278;962;619;873;3946;795;287;1823;475;1440
max qbr;-3955;-2781;-791;-268;-337;-133;-220;-886;-794;-3710;-1148
max distance;499.8486063807622;540.7634779213822;636.8909211325417;392.63360672047173;508.2488954777677;402.36269713053974;470.1911461337148;629.3932005019477;512.4962300877913;463.22651790856565;616.6228868646455
min distane;0.23780297368786765;0.12803438537033474;0.18833228835543775;1.1161109720120737;1.512206009229845;0.2944145883885719;0.1561055477475213;0.22656826786222192;0.4306374898766149;0.3388430238314809;0.41646135607357243
Alias_Distance;Spot8_winkel;Spot8_winkel;Spot8_winkel;Spot8_winkel;Spot8_winkel;Spot8_winkel;Spot8_winkel;Spot8_winkel;Spot8_winkel;Spot8_winkel;Spot8_winkel
distance;608185.0585150692;607636.034902559;1390378.329564179;765226.769876451;704663.5814243654;791918.7172745822;314755.50238280697;428321.16514704627;520903.6864556275;435963.62752125;891402.6482666775
mean_distance;50.894147156072734;50.80993685948315;58.177259699743885;64.03571296037246;58.96766371752012;33.136060809012186;26.33937258433531;35.84277532611266;43.59026664900649;36.48231192646443;37.29874255268746
zero-overhead-counter;584;580;717;778;807;1666;727;591;269;25;1593
ref before query (rbq);6100;6075;19648;6188;9866;29416;10807;6914;10844;2590;16869
query berfore ref (qbr);13028;12060;15744;9687;7027;4427;4302;9373;7787;15632;12776
max rbq;2544;2277;3748;796;1087;4827;794;815;2348;466;1356
max qbr;-3969;-3324;-3767;-2324;-1808;-1404;-206;-1908;-2518;-3723;-1486
max distance;179.5943076498609;179.9163556984312;179.52036344587228;175.95431361824186;179.15382965483997;179.25585747290603;176.5267410194482;178.5203270737472;178.74280292509727;177.60406223406594;179.18564848517724
min distane;0.00250830226246532;0.003049007510081912;0.0007735274046584848;0.0001608746087265172;0.00033527116030884015;0.0010999202698494784;0.0007603950819865894;0.0004854759956089558;0.0026890903171142536;0.00033038282328076783;0.00023664474024006078
Alias_Distance;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog;Spot8_winkellog
distance;542913.4788637835;578785.918120724;1183077.5779045625;668835.6373316603;601755.9917219033;620666.7143974446;285993.0071093024;361718.6008280354;486900.33212592837;415703.20545895933;756968.5100979437
mean_distance;45.432090281488165;48.39751802999616;49.50322515187089;55.96950940013893;50.356149934887306;25.97040522186889;23.932469214167565;30.269338981425555;40.7447976674417;34.78687911790455;31.67364785547277
zero-overhead-counter;584;576;635;583;811;1157;729;591;269;31;1593
ref before query (rbq);6108;8229;19644;6191;8969;34430;10107;7496;10963;3016;17144
query berfore ref (qbr);13162;10249;16413;9489;7799;1266;5095;8682;7786;15399;12781
max rbq;2552;2277;3748;796;1082;8477;793;815;2349;466;1356
max qbr;-3988;-3324;-3767;-2324;-1852;-108;-206;-1908;-2518;-3723;-1495
max distance;179.83962609330942;179.91635560699305;179.52036344587228;179.68643795405603;179.91449884776108;178.90363780903473;176.39765966033178;178.52032707374718;178.74280291713052;177.6040622333938;179.13440313676614
min distane;2.1843704601940025e-06;1.9377354956103374e-06;2.5428846642445436e-05;0.00012100022892074578;2.32998430642732e-06;1.5716716122509082e-06;9.594328877804996e-07;1.5566860721013248e-05;2.2507661327499584e-06;1.5139765396372823e-07;9.757042627051535e-08
Alias_Distance;GL1_euklid;GL1_euklid;GL1_euklid;GL1_euklid;GL1_euklid;GL1_euklid;GL1_euklid;GL1_euklid;GL1_euklid;GL1_euklid;GL1_euklid
distance;3042619.108759875;3439992.801180284;5238393.164720986;2389402.339318682;2405932.507640665;4528324.421602623;2270351.183598242;2421591.171717144;2558638.3548836685;1911120.1756396429;4449185.49287201
mean_distance;183.11381251564003;207.0289360363676;157.63099316083853;143.80129629987252;144.79613069575498;136.26397513248142;136.63644581116043;145.73851538981367;153.98642000985006;115.01686179824524;133.88256779224872
zero-overhead-counter;341;1028;561;640;263;1146;418;112;340;120;600
ref before query (rbq);6256;6017;32083;9488;10731;23518;10923;14808;16838;16592;30655
query berfore ref (qbr);16599;17441;8731;11019;10837;19363;10561;6493;4539;4607;9844
max rbq;1117;934;1692;576;765;2450;1221;1013;2188;1517;1946
max qbr;-3395;-5674;-855;-827;-545;-2132;-1326;-897;-284;-212;-364
max distance;572.2856236631234;538.286771252234;620.0321614779101;520.8468096213089;570.4353215903743;672.397926248026;483.8263446283933;560.0224335186361;518.7176429301514;532.4716777378728;558.604146716704
min distane;2.5103736326247756;4.162157993702656;2.2566089781636998;0.9958491508164453;1.8736592266817806;1.590278734764981;1.14747822144489;1.4425259827661379;2.408640745360199;0.37534278822716244;2.1234372145636153
Alias_Distance;GL1_winkel;GL1_winkel;GL1_winkel;GL1_winkel;GL1_winkel;GL1_winkel;GL1_winkel;GL1_winkel;GL1_winkel;GL1_winkel;GL1_winkel
distance;773736.5340190004;1161397.9631349468;1503049.2604946375;581284.1492162056;593628.8767316872;1203205.3330177264;585885.4489027709;546584.1299788735;737501.7372528214;526861.2641454877;1384467.6473748616
mean_distance;46.5657519269981;69.89636273079843;45.22897389548139;34.983398484364805;35.726340679567116;36.206226920369716;35.260318301803736;32.89504874692306;44.385034740781265;31.708068376594106;41.66067788200715
zero-overhead-counter;15;42;495;538;119;1251;113;102;773;120;658
ref before query (rbq);6317;17012;11097;11002;15149;31798;11700;15654;14668;12876;10958
query berfore ref (qbr);17938;5620;34284;10248;8219;14235;10714;5523;7364;9663;33701
max rbq;657;3543;638;580;2220;2446;1462;1722;2660;1322;804
max qbr;-3172;-656;-5892;-852;-1191;-2596;-1326;-906;-967;-1709;-5842
max distance;176.09837276128533;179.90079140346208;178.16071105942166;176.58289528162436;172.136470089952;177.36986585897205;174.43788227494082;179.51107213131814;178.33279762630485;178.1749636355911;179.46741909103338
min distane;0.013872896894494105;0.0013797169677957357;0.004698300008607493;0.0007722777885865896;0.004767978484558481;0.0036353543510992715;0.015864500570863433;0.0017862658675176528;0.0034510603795784847;0.00020502481303687035;0.001067865728665077
Alias_Distance;GL1_winkellog;GL1_winkellog;GL1_winkellog;GL1_winkellog;GL1_winkellog;GL1_winkellog;GL1_winkellog;GL1_winkellog;GL1_winkellog;GL1_winkellog;GL1_winkellog
distance;728220.3233161952;1113153.3537997631;1218343.375398313;602977.2879709824;619374.2402523062;1054075.6576296906;551440.8653420159;497328.0151038033;699794.083615221;481346.0614984832;984620.3615640757
mean_distance;43.82645181248166;66.99285952092941;36.66175299104216;36.28895570359788;37.27577276434197;31.718694560354194;33.187341438493974;29.93067014346433;42.11567667400222;28.968828929855754;29.628682040324858
zero-overhead-counter;15;42;499;606;105;1153;153;111;112;120;666
ref before query (rbq);6649;17470;32248;17864;19770;24592;11878;17094;14502;13077;31632
query berfore ref (qbr);19404;5620;13586;3647;2473;22204;10669;4240;8826;9679;9795
max rbq;654;3543;2556;1630;3090;2446;1462;1722;2806;1528;1950
max qbr;-4796;-656;-964;-380;-154;-3220;-1326;-906;-967;-1709;-380
max distance;177.6281954879713;179.58611647196872;179.71736376050498;174.3046026627399;177.17056642850204;155.82759608070626;174.39588065844123;179.22982791435044;178.33279762630485;178.1749636355911;179.1516298074894
min distane;0.0004065361356284232;5.4253672970744164e-05;2.0080348926509645e-05;1.7356968959379293e-05;3.088404941653392e-06;1.8762731820515717e-06;1.095521534731739e-05;4.342457761628282e-06;0.0010963568751527787;0.00020502481299472213;0.0021222867113048307
Alias_Distance;GL2_euklid;GL2_euklid;GL2_euklid;GL2_euklid;GL2_euklid;GL2_euklid;GL2_euklid;GL2_euklid;GL2_euklid;GL2_euklid;GL2_euklid
distance;1291282.2874677386;1361521.0033777405;2015942.4951630624;1241893.0983278165;1378771.0941172335;2506971.0506877783;1192186.802259498;1464464.6830173726;1251409.7210653573;987458.1536248919;3813303.029494478
mean_distance;174.0976523483536;183.56761539405966;135.90928977031365;167.4387351122848;185.89336579711926;169.01308236282466;160.73706380740165;197.4470382927562;168.72181759004414;133.13444163743992;257.0823858622314
zero-overhead-counter;587;777;258;753;609;1510;605;613;256;613;1203
ref before query (rbq);1360;726;10385;7411;4556;17910;2132;3697;6770;2418;269
query berfore ref (qbr);6660;6855;8352;765;4594;452;6835;6326;2454;6399;20482
max rbq;76;65;422;904;972;3596;445;238;965;348;116
max qbr;-749;-491;-1447;-142;-994;-100;-804;-2140;-220;-388;-6257
max distance;430.0859819387941;438.56105826118267;542.2265480552182;464.5502498229415;442.82039682347875;380.2950204490118;530.4291548002549;448.7155935322324;680.6576486447084;540.8597582152878;681.3903796533001
min distane;4.0764844964381055;6.437928824224906;0.9205890454826723;2.294799798799226;2.9676160424970184;1.7154311452316855;2.019445355493786;1.1058999636536386;3.8470020031068284;2.6888345090083914;3.340330724826146
Alias_Distance;GL2_winkel;GL2_winkel;GL2_winkel;GL2_winkel;GL2_winkel;GL2_winkel;GL2_winkel;GL2_winkel;GL2_winkel;GL2_winkel;GL2_winkel
distance;469681.1672222997;433176.9017623729;748021.6779841627;385866.10927686305;427660.6720326305;907030.9414326595;320451.640703092;506717.27169864887;508425.92639146396;363055.52353498194;1159918.6604744613
mean_distance;63.324951762478044;58.40324952977927;50.4295609778307;52.0245529562981;57.659521643876296;61.149527501696184;43.20502099273183;68.31835940388956;68.54872945819926;48.94910658419603;78.1985208976243
zero-overhead-counter;788;703;77;1373;127;1173;524;613;860;713;1187
ref before query (rbq);891;148;5021;6811;6036;2586;3920;4613;0;3623;413
query berfore ref (qbr);7175;9309;16516;1024;4389;16162;5845;6277;10725;5713;20961
max rbq;286;64;1115;956;1788;274;503;1265;0;360;144
max qbr;-946;-1180;-2460;-116;-663;-2844;-1172;-2104;-3506;-620;-6148
max distance;179.54698268127927;179.94479830448316;179.3963814403081;171.60835673535672;169.13659482275708;177.1690775396304;178.17236796866877;179.7960481859786;179.7878049176221;176.39553815469222;179.8035719807291
min distane;0.08168490133375188;0.007844718137463139;0.024413566100939327;0.0049075068875373135;0.05747305697903684;0.004111506713728452;0.005306240990810433;0.0024524567368523296;0.0025850201984078036;0.009859217348298198;0.009220838552970302
Alias_Distance;GL2_winkellog;GL2_winkellog;GL2_winkellog;GL2_winkellog;GL2_winkellog;GL2_winkellog;GL2_winkellog;GL2_winkellog;GL2_winkellog;GL2_winkellog;GL2_winkellog
distance;395260.64743297535;319116.493799929;621571.294922089;341363.57589962153;400313.06052619324;833730.7151709627;334414.3382585355;410785.7241366231;393419.0173375793;254429.9347079347;1090174.3951642811
mean_distance;53.29117533139751;43.02500927597802;41.904624480690956;46.02448104349758;53.97236895324164;56.20782816496749;45.087547291160234;55.38435002516153;53.04287681509765;34.30361800026085;73.49655465275272
zero-overhead-counter;582;572;256;753;605;1173;524;613;246;613;1203
ref before query (rbq);1101;307;4043;7416;4961;2586;3983;4462;643;3189;315
query berfore ref (qbr);7243;9596;16594;804;4500;16162;5969;6277;10774;5897;21118
max rbq;286;64;321;956;1764;274;503;1126;29;360;144
max qbr;-946;-1475;-2460;-140;-663;-2844;-1198;-2104;-3506;-411;-6284
max distance;178.34959835976716;179.94479830181498;179.39637928345144;171.60835673535672;169.13659482275708;177.1690775396304;178.17236796866877;171.34469503894857;179.77930228621503;176.395538148179;179.80347135011027
min distane;0.00024588538164938814;0.0010586743683770033;0.0006308938955719803;2.171204866038365e-06;8.529132492257694e-05;9.902054986539262e-05;5.202079087022769e-06;3.456513045840276e-08;8.423941832847396e-05;0.0010763650955856632;4.772008485928702e-05
Alias_Distance;GL3_euklid;GL3_euklid;GL3_euklid;GL3_euklid;GL3_euklid;GL3_euklid;GL3_euklid;GL3_euklid;GL3_euklid;GL3_euklid;GL3_euklid
distance;2410246.9317043344;2050000.0242864524;3854798.183836169;1715755.8039548812;1867479.99854229;3706056.0539610065;1414998.940823886;1391460.235083444;1603161.3590408096;1748991.0794928968;3269175.6264834222
mean_distance;220.11387504149172;187.21461409008697;176.02621963725144;156.69002775843663;170.54611858833698;169.23403141517906;129.2236475638252;127.0739940715474;146.407430049389;159.72521273907734;149.2842424989005
zero-overhead-counter;525;630;164;185;1203;555;356;842;765;310;461
ref before query (rbq);5502;4555;22192;8110;3700;8163;10186;6582;6919;9528;16696
query berfore ref (qbr);9621;8519;4943;5731;8063;18238;3088;5916;5840;4969;11545
max rbq;1292;802;548;760;136;444;860;472;116;636;1276
max qbr;-1702;-909;-596;-400;-422;-2932;-396;-496;-764;-818;-908
max distance;439.33038524096327;493.9792508990105;633.2906786039679;688.1937490914916;440.9511394890494;750.8472617188024;466.57051423599887;569.4983768515491;493.39226766958865;508.1056353322064;748.9381824177725
min distane;0.527735920938022;1.7745853207128695;1.0622429057830194;2.1136799643387696;5.027694558500889;4.951818225556436;1.3675929971262466;1.1839277247440945;1.7991197650925124;2.8030027091542733;1.9912860061354611
Alias_Distance;GL3_winkel;GL3_winkel;GL3_winkel;GL3_winkel;GL3_winkel;GL3_winkel;GL3_winkel;GL3_winkel;GL3_winkel;GL3_winkel;GL3_winkel
distance;765941.7654313328;706755.5697305157;1130661.7612271942;395724.4154124321;521376.06716845406;1099162.494163651;317547.9809705723;348275.9181411613;390502.5492948565;362096.03172967146;807335.6769753179
mean_distance;69.94901967409432;64.54388764662244;51.63074849204047;36.139216019400195;47.61425270944786;50.19236011524047;28.999815613750894;31.806019921567245;35.66233326893666;33.06813075156817;36.8663261781505
zero-overhead-counter;519;37;155;172;598;554;352;721;641;47;84
ref before query (rbq);415;1369;15094;10516;4965;7174;11698;13430;10577;7951;10440
query berfore ref (qbr);15322;14914;15493;4403;8201;24339;2596;808;4030;7424;18383
max rbq;140;228;1721;764;380;719;952;2113;1580;596;475
max qbr;-4499;-4616;-2337;-340;-348;-5757;-391;-70;-300;-860;-1861
max distance;179.94549372292897;175.5509995856185;179.34213126244458;176.96357155895546;178.4508184033841;179.84839091064396;168.45105336125854;176.57344758842103;179.09183513015728;179.47975510339583;179.93158482674127
min distane;0.008637263077230799;0.029499277945490992;0.006773942879583045;0.005566463733451;0.008726223561223363;0.01383106880617484;0.00341429407889783;0.010989873551267178;0.04094474087986736;0.00756891222132986;0.00046315233374069983
Alias_Distance;GL3_winkellog;GL3_winkellog;GL3_winkellog;GL3_winkellog;GL3_winkellog;GL3_winkellog;GL3_winkellog;GL3_winkellog;GL3_winkellog;GL3_winkellog;GL3_winkellog
distance;754916.134324813;680157.4307714552;1161728.1043933146;613636.86554835;497096.01046188;902222.3814352603;290123.19145289744;361858.15380217845;357232.1871776816;434911.5392687254;842907.2329696954
mean_distance;68.94211272372722;62.11483386040686;53.04936775164686;56.039896397109594;45.39689593259178;41.19925025961278;26.495268625835383;33.046406739924976;32.62394403449147;39.71794879166442;38.49067231242044
zero-overhead-counter;519;35;156;135;603;554;340;283;185;43;449
ref before query (rbq);402;817;19963;3155;4409;8801;10897;14171;11234;10225;7373
query berfore ref (qbr);15004;16258;12241;13191;8814;22203;3221;603;4121;6099;23436
max rbq;140;228;1794;764;380;389;952;2113;1580;2414;475
max qbr;-3648;-4616;-1956;-3054;-348;-5757;-386;-70;-300;-860;-6255
max distance;179.39339928670952;178.494229032705;177.50129711616793;176.56804516728974;178.4508184033224;178.8380612201739;152.8848680826973;177.12278633802893;175.75590332605196;179.89790478588856;171.65166712529066
min distane;2.400197175071738e-05;0.00015279059594160708;0.00036091729812537973;1.6760541898495984e-05;0.0004204014976960303;0.0007132497382274101;2.254690802884053e-06;1.8237510715088416e-05;0.0005774561177016262;0.00015073637931394682;1.4516243266815954e-05
Alias_Distance;GL4_euklid;GL4_euklid;GL4_euklid;GL4_euklid;GL4_euklid;GL4_euklid;GL4_euklid;GL4_euklid;GL4_euklid;GL4_euklid;GL4_euklid
distance;2776314.301697375;2659547.9189410615;5732092.455351095;1838814.8325904869;1937168.1432093072;3625361.3962300946;1432586.8032131994;1832408.6788145972;1853967.9924861596;2012781.5613660053;3771344.861002646
mean_distance;255.88150246058754;244.9390236637559;264.16389950463594;169.47602143691122;178.54084269210205;167.07504475920985;132.03565006573265;168.8855925174744;170.87262603559074;185.5098213240558;173.80270339659182
zero-overhead-counter;334;336;1030;824;538;1915;551;227;900;133;1108
ref before query (rbq);0;479;4718;7213;830;11698;6059;485;8296;2794;16342
query berfore ref (qbr);16218;13761;24003;5050;12662;17280;6500;14277;3831;11190;10815
max rbq;0;172;896;557;63;1447;194;52;549;142;3092
max qbr;-5532;-3216;-6308;-358;-2267;-5688;-572;-3031;-217;-2003;-967
max distance;525.3282830810981;570.2278024330506;691.1367413454061;561.3864609335855;405.5159615514029;677.9163931480049;583.9327301636006;446.5984415176088;556.395561755851;516.7731022391035;470.20819138845934
min distane;8.210111014759345;6.176891740162709;3.9457236521424797;6.450146453599838;7.275090795619311;5.147742098696587;2.482563543747779;7.001816352763049;2.2947145948886556;2.821990774769052;3.045079764306417
Alias_Distance;GL4_winkel;GL4_winkel;GL4_winkel;GL4_winkel;GL4_winkel;GL4_winkel;GL4_winkel;GL4_winkel;GL4_winkel;GL4_winkel;GL4_winkel
distance;643754.0325787173;725315.3751863174;1511806.8006777288;442656.88971235784;497894.10915358353;1020393.7077649356;512308.5511216075;471603.4757560228;512106.93284251867;587745.7804684608;944038.7943238606
mean_distance;59.33216890126427;66.80008981270191;69.67172683892018;40.79787001957215;45.88885798650539;47.02491855684297;47.21737798355829;43.465758134195646;47.19879565368836;54.170118015526334;43.50609679357853
zero-overhead-counter;214;1160;1489;781;538;1290;541;283;345;135;1043
ref before query (rbq);156;479;0;8661;682;7402;1360;325;640;1817;18726
query berfore ref (qbr);14946;13646;29162;4422;14715;21472;13349;14983;14832;14346;9516
max rbq;36;172;0;660;70;518;180;4;188;204;2910
max qbr;-3356;-3348;-6370;-489;-2277;-4993;-3281;-3798;-2174;-4038;-920
max distance;174.53974749606814;177.68847247671619;179.64948162609068;179.71748962953743;172.0389391520878;177.70968872182956;169.60812752815048;178.26289675855705;169.43936452345199;179.0114333504954;179.48840571977195
min distane;0.0557675097108844;0.004712349792434594;0.008817803449543712;0.012926070380087978;0.06619162751470249;0.012442453027071301;0.0004959454926554451;0.0022763164951157566;0.01914124350414257;0.026154907279215312;0.022475405075005776
Alias_Distance;GL4_winkellog;GL4_winkellog;GL4_winkellog;GL4_winkellog;GL4_winkellog;GL4_winkellog;GL4_winkellog;GL4_winkellog;GL4_winkellog;GL4_winkellog;GL4_winkellog
distance;612936.8627138948;690195.4433611395;1264275.3898325632;376480.8128205019;419324.3705050116;860079.3134458171;449927.6000586792;428631.4799832856;452789.3660751329;551944.8439196376;729387.9933614292
mean_distance;56.491876747824406;63.5656146031626;58.264223689228224;34.69869242585271;38.64740741981674;39.63681798450698;41.467981572228496;39.50520552841342;41.73173880876801;50.87049252715554;33.613898952091304
zero-overhead-counter;214;1160;1030;1101;25;1290;537;286;640;135;1043
ref before query (rbq);236;479;4429;6907;1502;7402;671;330;4340;1823;18809
query berfore ref (qbr);14942;13657;27317;5410;14774;20836;14041;14780;10047;14321;9712
max rbq;116;172;1623;660;307;518;85;4;236;204;3094
max qbr;-3356;-3348;-6370;-489;-2178;-4743;-3281;-3798;-1989;-4038;-920
max distance;174.53974749543093;175.68189157999632;179.60044506121298;179.7173899113388;172.29706239155183;178.80175968535178;175.77219893820873;178.19023911691013;177.83696327963727;179.0114333504954;179.48840571977195
min distane;3.439845073270958e-05;0.00010547818935625632;4.097819213148483e-06;0.00020717614366212435;1.2152140668984254e-06;2.629764286574445e-05;6.533021981166427e-06;6.749724662718289e-06;9.76441578083658e-05;1.6894247610499406e-06;3.07918151478433e-05
Alias_Distance;GL5_euklid;GL5_euklid;GL5_euklid;GL5_euklid;GL5_euklid;GL5_euklid;GL5_euklid;GL5_euklid;GL5_euklid;GL5_euklid;GL5_euklid
distance;2536137.0707130176;2437364.10744388;5695243.232652745;2153327.8043249873;2431725.3839820796;2311705.7943065227;1742635.4237359487;1596872.7701230794;2901741.012254643;2266348.086636353;4040563.9710730077
mean_distance;174.31693385889184;167.42437886;195.66575849976795;147.99503809793728;167.1288923699024;79.44279165285826;119.76875764508239;109.75070585038347;199.4323719762641;155.77346117508782;138.85576724536952
zero-overhead-counter;1020;575;1012;576;569;1464;192;578;113;708;1192
ref before query (rbq);17038;9411;27204;3891;2767;19581;15354;13386;543;7778;11924
query berfore ref (qbr);1781;9055;10930;15724;17368;15746;3231;5134;22498;11892;26478
max rbq;2946;1722;4313;568;304;571;1322;544;4;1868;3652
max qbr;-166;-578;-964;-2379;-4285;-1961;-414;-280;-7533;-1252;-2815
max distance;832.9086274651954;434.58464158433145;543.6527844368429;472.4396246513602;472.5917728195118;476.3738016449505;515.2974177715765;499.0714353747293;490.5137854960725;480.998498040763;672.3691926611552
min distane;0.13447502694845176;1.0235255851769425;0.5410658403049173;1.153867296347683;1.8533860673480766;1.7944501176292873;0.8400595342974937;1.3589391885892645;2.8547928022335305;3.3313807230502364;3.095389794872152
Alias_Distance;GL5_winkel;GL5_winkel;GL5_winkel;GL5_winkel;GL5_winkel;GL5_winkel;GL5_winkel;GL5_winkel;GL5_winkel;GL5_winkel;GL5_winkel
distance;867057.508963523;944408.0761542806;1886167.419434798;577037.0529284517;491237.09421912517;835906.1798533058;721509.5367713482;483425.9674646354;808500.1613504243;774509.6755711879;1652964.8721182689
mean_distance;59.59567729490157;64.87210304672898;64.80116190039503;39.658903981336884;33.761999602689016;28.726285434320967;49.588284314182005;33.225152403067725;55.56702139865459;53.23456427047824;56.80486862497917
zero-overhead-counter;743;748;1082;744;171;1087;716;576;660;710;1416
ref before query (rbq);3531;17773;27920;3154;6061;16231;11844;9188;0;8064;0
query berfore ref (qbr);17584;1523;12576;17734;12769;19569;7986;11073;21563;13116;40849
max rbq;227;3817;4315;563;556;388;1297;545;0;1871;0
max qbr;-3987;-288;-950;-2956;-1240;-1965;-1940;-2125;-6156;-2291;-10108
max distance;179.36309289827946;179.6254424271069;179.6564264585994;168.00605203737905;170.9989081874395;159.88784942780052;179.26993031979805;157.1456858795912;165.30069256656512;167.7549675861636;179.6056254498268
min distane;0.0036960103734792415;0.013172228249270734;0.0039536621332134075;0.01436931213715667;0.0079709603051661;0.006185234055684538;0.0003700495702164168;0.005782646220812787;0.007391624228120909;0.014583827488475493;0.011194846855507578
Alias_Distance;GL5_winkellog;GL5_winkellog;GL5_winkellog;GL5_winkellog;GL5_winkellog;GL5_winkellog;GL5_winkellog;GL5_winkellog;GL5_winkellog;GL5_winkellog;GL5_winkellog
distance;706608.4775525107;739429.4200076511;1919770.1944611694;557605.9784698122;1387321.9241671497;636291.4271893528;567515.0537931498;411395.2070033854;813355.885061397;868791.8954613076;1771740.7194270352
mean_distance;48.56749450494953;50.79196455609638;65.95561873299101;38.323434946378846;95.34858585341235;21.866436207063913;39.00447105107558;28.274584673772193;55.90074811418536;59.71488730918328;60.886653129902584
zero-overhead-counter;1280;911;1014;740;567;1165;367;576;113;702;1416
ref before query (rbq);13650;1959;10016;17309;0;15988;14356;9348;543;793;0
query berfore ref (qbr);7823;17550;33459;3686;23839;20296;5085;11180;22637;21692;39453
max rbq;4348;249;2180;2578;0;388;1344;548;4;308;0
max qbr;-988;-2012;-8748;-668;-9535;-1965;-922;-2125;-7534;-6244;-8532
max distance;174.69529551068916;171.4739835394973;176.23205040828185;175.09782543456174;179.54021900515488;175.84557930229488;179.59580798412034;135.37114828967316;175.2828545276114;164.94342359088205;178.51510867149642
min distane;0.00022345104368631514;3.222658573803593e-05;0.0001425278481522319;1.0026379238162084e-05;2.0506417829502465e-06;0.00011006195554293478;4.382231348224184e-05;0.00013188823867163078;7.623817293652985e-05;0.0002815041985996632;6.543818852715052e-05
Alias_Distance;GL6_euklid;GL6_euklid;GL6_euklid;GL6_euklid;GL6_euklid;GL6_euklid;GL6_euklid;GL6_euklid;GL6_euklid;GL6_euklid;GL6_euklid
distance;1970639.4398856452;2575584.2986962674;4545002.298672728;1368316.7448154145;2275248.2605945272;2721414.563032182;1323928.9599216809;1373196.4252471381;2210203.583494821;1748184.8292224503;3445115.0050838576
mean_distance;186.79046823560617;244.13121314656564;215.4029525437312;129.6982696507502;215.66334223644807;128.98310645206797;125.49089667504084;130.16079860162446;209.4979699995091;165.57916548801384;163.28333120450532
zero-overhead-counter;441;1503;1107;482;462;1047;651;646;595;671;419
ref before query (rbq);10754;15466;7862;7134;533;10021;7903;3598;8417;1470;25740
query berfore ref (qbr);2299;0;20786;5034;11359;14776;4577;9145;6048;10507;2703
max rbq;1800;6387;502;158;66;584;565;103;1314;388;5414
max qbr;-202;0;-3166;-390;-1000;-1124;-371;-966;-1811;-972;-314
max distance;413.81848446934157;528.4713945841752;632.994006637905;510.397823336755;433.46844409063584;525.9658718232946;637.7193305054628;577.9162404121487;543.069735049035;467.10760251576255;567.3924559749721
