path_ref,path_query,path_distance,ref_x,ref_y,query_x,query_y
0,0,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
1,1,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
2,2,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
3,3,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
4,4,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
5,5,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
6,6,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
7,7,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
8,8,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
9,9,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
10,10,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
11,11,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
12,12,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
13,13,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
14,14,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
15,15,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
16,16,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
17,17,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
18,18,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
19,19,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
20,20,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
21,21,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
22,22,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
23,23,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
24,24,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
25,25,92.20633630552729,959.9083112003631,559.5147956209106,1205.4,531.7
26,26,94.19554004722963,959.9083112003631,559.5147956209106,1153.0500000000002,526.75
27,27,97.63965816413358,959.9083112003631,559.5147956209106,1100.7,521.8
28,28,103.9210685652002,959.9083112003631,559.5147956209106,1048.35,516.85
29,29,0.3207464544784922,959.9083112003631,559.5147956209106,996.0,511.9
30,30,0.3207464544784922,959.9083112003631,559.5147956209106,996.0,511.9
31,31,0.3141378029945682,960.821354678624,559.8191434469976,996.0,511.9
32,32,0.30775280159187063,961.7343981568848,560.1234912730845,996.0,511.9
33,33,0.3016043084300871,962.6474416351457,560.4278390991715,996.0,511.9
34,34,0.29570077877286793,963.5604851134066,560.7321869252585,996.0,511.9
35,35,0.29004669258719085,964.4735285916674,561.0365347513454,996.0,511.9
36,36,0.284643059748949,965.3865720699283,561.3408825774324,996.0,511.9
37,37,0.27948795754404654,966.2996155481892,561.6452304035193,996.0,511.9
38,38,0.27457706436237916,967.2126590264501,561.9495782296062,996.0,511.9
39,39,0.26990416341685164,968.125702504711,562.2539260556932,996.0,511.9
40,40,0.2654615995935232,969.0387459829718,562.5582738817802,996.0,511.9
41,41,0.26124068035560494,969.9517894612327,562.8626217078671,996.0,511.9
42,42,0.25723201767299114,970.8648329394935,563.1669695339541,996.0,511.9
43,43,0.2534258122572042,971.7778764177543,563.471317360041,996.0,511.9
44,44,0.24981208417054535,972.6909198960152,563.775665186128,996.0,511.9
45,45,0.24638085545222455,973.6039633742761,564.080013012215,996.0,511.9
46,46,0.2431222910761639,974.517006852537,564.3843608383019,996.0,511.9
47,47,0.2400268046038699,975.4300503307978,564.6887086643889,996.0,511.9
48,48,0.23708513454829652,976.3430938090587,564.9930564904759,996.0,511.9
48,49,0.23708513454829652,977.2561372873196,565.2974043165627,996.0,511.9
48,50,0.23708513454829652,978.1691807655804,565.6017521426497,996.0,511.9
48,51,0.23708513454829652,979.0822242438413,565.9060999687367,996.0,511.9
48,52,0.23708513454829652,979.9952677221022,566.2104477948236,996.0,511.9
48,53,0.23708513454829652,980.9083112003631,566.5147956209106,996.0,511.9
48,54,0.23708513454829652,980.9083112003631,566.5147956209106,996.0,511.9
48,55,0.23708513454829652,980.9083112003631,566.5147956209106,996.0,511.9
