path_ref,path_query,path_distance,ref_x,ref_y,query_x,query_y
0,0,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
1,1,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
2,2,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
3,3,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
4,4,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
5,5,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
6,6,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
7,7,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
8,8,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
9,9,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
10,10,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
11,11,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
12,12,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
13,13,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
14,14,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
15,15,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
16,16,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
17,17,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
18,18,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
19,19,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
20,20,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
21,21,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
22,22,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
23,23,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
24,24,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
25,25,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
26,26,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
27,27,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
28,28,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
29,29,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
30,30,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
31,31,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
32,32,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
33,33,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
34,34,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
35,35,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
36,36,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
37,37,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
38,38,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
39,39,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
40,40,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
41,41,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
42,42,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
43,43,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
44,44,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
45,45,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
46,46,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
47,47,141.01998231996515,941.6021568537468,534.9494378413106,963.2,538.6
48,48,126.50056050472745,941.6021568537468,534.9494378413106,963.4245614035088,537.3100877192983
49,49,117.1672404160111,941.6021568537468,534.9494378413106,963.6491228070175,536.0201754385965
50,50,110.96826505315298,941.6021568537468,534.9494378413106,963.8736842105263,534.7302631578948
51,51,106.64510028763395,941.6021568537468,534.9494378413106,964.0982456140351,533.440350877193
52,52,103.49123698067656,941.6021568537468,534.9494378413106,964.3228070175439,532.1504385964912
