u_0;u_1;v_0;v_1;Euklid;Winkel;Winkel+;Winkelsk;Winkellog
960;540;960;540.0;0.0;0;0;0;0
961;540;961;542.1159237685016;2.1159237685016024;64.70426257980888;32.40398507969038;2.958797731934121;6.941605428809781e-06
962;540;962;544.2318475370032;4.231847537003205;64.70426257980888;32.559050956401414;5.782295505728696;1.1951716603320133e-05
963;540;963;546.3477713055047;6.347771305504693;64.7042625798085;32.81586581837272;8.47668032040515;2.0577879749588892e-05
964;540;964;548.4636950740063;8.463695074006296;64.7042625798086;33.172066558002136;11.04785625577819;3.5429981173248507e-05
965;540;965;550.5796188425079;10.579618842507898;64.70426257980866;33.62449479380721;13.501457409789614;6.100158875696215e-05
966;540;966;552.6955426110095;12.6955426110095;64.7042625798087;34.169328360975676;15.842860244245122;0.00010502948763193734
967;540;967;554.8114663795111;14.811466379511103;64.70426257980873;34.80222767629609;18.077195366004172;0.00018083443528997846
968;540;968;556.9273901480126;16.92739014801259;64.7042625798086;35.51848535504407;20.20935876943946;0.00031135127927185095
969;540;969;559.0433139165142;19.043313916514194;64.70426257980863;36.31316913588489;22.244022564801686;0.0005360675792651804
970;540;970;561.1592376850158;21.159237685015796;64.70426257980866;37.181250699209286;24.185645215996004;0.0009229694828649149
971;540;971;563.2751614535174;23.2751614535174;64.70426257980868;38.11771575678013;26.03848131020669;0.0015891074611202526
972;540;972;565.391085222019;25.391085222019;64.7042625798087;39.11765337495441;27.806590880775538;0.002735999191961617
973;540;973;567.5070089905205;27.50700899052049;64.70426257980863;40.17632457931707;29.493848303763464;0.004710566150499704
974;540;974;569.6229327590221;29.622932759022092;64.70426257980864;41.28921176207369;31.103950787690604;0.00810999682124597
975;540;975;571.7388565275237;31.738856527523694;64.70426257980866;42.452051296200715;32.64042647505623;0.013962133750379777
976;540;976;573.8547802960253;33.8547802960253;64.70426257980867;43.66085215233796;34.10664217339345;0.024035577288727437
977;540;977;575.9707040645269;35.9707040645269;64.70426257980868;44.91190334613461;35.505810732797364;0.041372192018195
978;540;978;578.0866278330284;38.08662783302839;64.70426257980863;46.20177284226131;36.840998086093585;0.07119976351828905
979;540;979;580.20255160153;40.20255160152999;64.70426257980864;47.52730021213563;38.11512996707435;0.12249099572135408
980;540;980;582.3184753700316;42.31847537003159;64.70426257980866;48.88558496358803;39.330998321521896;0.2106112532000358
981;540;981;584.4343991385332;44.434399138533195;64.70426257980867;50.27397208398265;40.49126742506951;0.36177027705009007
982;540;982;586.5503229070348;46.5503229070348;64.70426257980868;51.69003599400095;41.598479721304386;0.6203749449778367
983;540;983;588.6662466755363;48.666246675536286;64.70426257980863;53.1315638120347;42.65506139290562;1.0607905926627659
984;540;984;590.7821704440379;50.78217044403789;64.70426257980864;54.596538583088694;43.66332767802556;1.8050587438853736
985;540;985;592.8980942125395;52.89809421253949;64.70426257980866;56.08312292916858;44.62548794356263;3.046521168473146
986;540;986;595.0140179810411;55.01401798104109;64.70426257980866;57.589643424950474;45.54365052644446;5.072958304797922
987;540;987;597.1299417495427;57.129941749542695;64.70426257980868;59.114575886398896;46.41982735352813;8.26659129320805
988;540;988;599.2458655180442;59.245865518044184;64.70426257980864;60.65653167413909;47.25593835024154;13.031381366787665
989;540;989;601.3617892865458;61.361789286545786;64.70426257980866;62.214245051547806;48.05381564762697;19.58929550954975
990;540;990;603.4777130550474;63.47771305504739;64.70426257980866;63.78656159429983;48.81520759700376;27.679595213547223
991;540;991;605.593636823549;65.59363682354899;64.70426257980866;65.37242761901946;49.54178260104948;36.41427700127316
992;540;992;607.7095605920506;67.7095605920506;64.70426257980867;66.9708805801121;50.23513276969277;44.58604220519008
993;540;993;609.8254843605521;69.82548436055208;64.70426257980864;68.58104037296667;50.89677740882953;51.26829084674559
994;540;994;611.9414081290537;71.94140812905368;64.70426257980866;70.20210147632699;51.528166349507394;56.15654394761887
995;540;995;614.0573318975553;74.05733189755529;64.70426257980866;71.83332586507257;52.13068312487246;59.448671092469866
996;540;996;616.1732556660569;76.17325566605689;64.70426257980866;73.47403662569559;52.70564800184129;61.54419653285883
997;540;997;618.2891794345585;78.28917943455849;64.70426257980867;75.1236122094883;53.254320874140134;62.83052257569012
998;540;998;620.40510320306;80.40510320305998;64.70426257980864;76.78148126221745;53.777904023051235;63.60261363326322
999;540;999;622.5210269715616;82.52102697156158;64.70426257980866;78.44711797338448;54.27754475191601;64.05982095316142
1000;540;1000;624.6369507400632;84.63695074006318;64.70426257980866;80.12003789272143;54.754337900167;64.3283990296213
1001;540;1001;626.7528745085648;86.75287450856479;64.70426257980866;81.79979416614262;55.20932824239873;64.48542663934577
1002;540;1002;628.8687982770664;88.86879827706639;64.70426257980867;83.48597414779711;55.64351277773349;64.57698133443105
1003;540;1003;630.9847220455679;90.98472204556788;64.70426257980864;85.17819634907245;56.05784291449894;64.63027611251539
1004;540;1004;633.1006458140695;93.10064581406948;64.70426257980866;86.87610768932282;56.453226555005074;64.66127033559286
1005;540;1005;635.2165695825711;95.21656958257108;64.70426257980866;88.57938101671098;56.83053008498787;64.67928555521833
1006;540;1006;637.3324933510727;97.33249335107269;64.70426257980866;90.28771287086447;57.190580272080204;64.6897534760248
1007;540;1007;639.4484171195743;99.44841711957429;64.70426257980866;92.00082146204366;57.53416607746914;64.69583484199414
1008;540;1008;641.5643408880758;101.56434088807578;64.70426257980864;93.71844484423092;57.86204038470975;64.69936744864196
1009;540;1009;643.6802646565774;103.68026465657738;64.70426257980866;95.44033926198426;58.17492164948389;64.70141937784446
1010;540;1010;645.796188425079;105.79618842507898;64.70426257980866;97.1662776530794;58.47349547391842;64.70261120629726
1011;540;1011;647.9121121935806;107.91211219358058;64.70426257980866;98.8960482909158;58.758416108913345;64.70330344519505
1012;540;1012;650.0280359620822;110.02803596208219;64.70426257980866;100.62945355239759;59.03030788777126;64.70370550712043
1013;540;1013;652.1439597305837;112.14395973058367;64.70426257980864;102.36630879855093;59.289766594269736;64.70393902859152
1014;540;1014;654.2598834990853;114.25988349908528;64.70426257980866;104.10644135651555;59.53736076817474;64.70407465957143
1015;540;1015;656.3758072675869;116.37580726758688;64.70426257980866;105.84968959277161;59.773632951055;64.70415343484905
1016;540;1016;658.4917310360885;118.49173103608848;64.70426257980866;107.59590206855351;59.9991008751283;64.70419918793397
1017;540;1017;660.6076548045901;120.60765480459008;64.70426257980867;109.34493676936569;60.214258597743886;64.70422576153872
1018;540;1018;662.7235785730916;122.72357857309157;64.70426257980866;111.09666040137544;60.419577583987184;64.70424119560485
1019;540;1019;664.8395023415932;124.83950234159317;64.70426257980866;112.85094774822095;60.6155077397795;64.70425015977568
1020;540;1020;666.9554261100948;126.95542611009478;64.70426257980866;114.60768108244756;60.802478397735634;64.70425536620316
1021;540;1021;669.0713498785964;129.07134987859638;64.70426257980866;116.36674962639236;60.98089925794055;64.70425839011749
1022;540;1022;671.187273647098;131.18727364709798;64.70426257980866;118.12804905786827;61.15116128570605;64.70426014641917
