u_0;u_1;v_0;v_1;Euklid;Winkel;Winkel+;Winkelsk;Winkellog
960;540;960;540;0.0;0;0;0;0
961;540;959;540;2.0;180.0;90.0166651237425;3.5642388047840545;1.4146763267242209e-05
962;540;958;540;4.0;180.0;90.06664199358161;7.057900952581829;1.7843703978828995e-05
963;540;957;540;6.0;180.0;90.14987520790032;10.48238395483523;2.250675747945923e-05
964;540;956;540;8.0;180.0;90.26627277117406;13.839057650405564;2.838839567227053e-05
965;540;955;540;10.0;180.0;90.41570660012562;17.129264753527288;3.5807068286013106e-05
966;540;954;540;12.0;180.0;90.598013223249;20.354321390911654;4.516444466363884e-05
967;540;953;540;14.0;180.0;90.8129946648606;23.515517628214944;5.6967161281398886e-05
968;540;952;540;16.0;180.0;91.06041950265768;26.614117986081958;7.185425245502365e-05
969;540;951;540;18.0;180.0;91.34002408582998;29.65136194597104;9.063174938234984e-05
970;540;950;540;20.0;180.0;91.6515138991168;32.628464445963274;0.0001143163207677529
971;540;949;540;22.0;180.0;91.9945650568554;35.546616366753874;0.00014419031778129034
972;540;948;540;24.0;180.0;92.36882591004391;38.40698500802038;0.0001818712035211025
973;540;947;540;26.0;180.0;92.7739187487518;41.210714555358074;0.0002293991258891094
974;540;946;540;28.0;180.0;93.20944158184835;43.95892653796942;0.0002893473750033414
975;540;945;540;30.0;180.0;93.67496997597597;46.65272027729078;0.0003649617051075326
976;540;944;540;32.0;180.0;94.17005893594843;49.293173326735634;0.00046033606342999795
977;540;943;540;34.0;180.0;94.69424480928078;51.88134190273026;0.0005806342391169007
978;540;942;540;36.0;180.0;95.24704719832526;54.418261307214415;0.0007323694308058414
979;540;941;540;38.0;180.0;95.82797086446107;56.904946341775954;0.0009237568660051935
980;540;940;540;40.0;180.0;96.43650760992955;59.342391713584924;0.0011651585586355965
981;540;939;540;42.0;180.0;97.07213812418061;61.731572433289784;0.0014696442764585518
982;540;938;540;44.0;180.0;97.73433378296492;64.07344420503455;0.0018536990768676163
983;540;937;540;46.0;180.0;98.42255838983256;66.36894380875333;0.0023381156968905552
984;540;936;540;48.0;180.0;99.13626985114983;68.61898947489465;0.0029491200786394426
985;540;935;540;50.0;180.0;99.87492177719089;70.82448125172598;0.003719790913136982
986;540;934;540;52.0;180.0;100.637965003273;72.98630136536501;0.004691849971132372
987;540;933;540;54.0;180.0;101.42484902626181;75.10531457268186;0.005917920011975929
988;540;932;540;56.0;180.0;102.23502335305646;77.18236850721333;0.007464372293278057
989;540;931;540;58.0;180.0;103.06793875885944;79.21829401822764;0.009414917492528693
